,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,179,199,212,244,336,269,262,282,209,227,224,Upgrade
1,Market Cap Growth,-18.37%,-18.37%,-37.04%,-9.26%,28.57%,-4.42%,25.00%,24.18%,-6.67%,-34.84%,-49.87%,Upgrade
2,Enterprise Value,1184,1212,1302,1223,1341,984,940,1023,1036,1143,1180,Upgrade
3,Last Close Price,0.72,0.80,0.85,0.98,1.35,1.08,1.03,1.11,0.82,0.89,0.88,Upgrade
4,PE Ratio,-,-,-,-,-,18.21,16.83,977.69,-,-,-,Upgrade
5,PS Ratio,0.08,0.09,0.08,0.09,0.13,0.10,0.09,0.10,0.08,0.09,0.08,Upgrade
6,PB Ratio,0.34,0.37,0.38,0.31,0.38,0.30,0.25,0.29,0.22,0.25,0.25,Upgrade
7,P/TBV Ratio,0.37,0.37,0.38,0.31,0.38,0.30,0.25,0.29,0.22,0.25,0.25,Upgrade
8,P/FCF Ratio,1.20,1.33,3.10,-,-17.87,-,1.03,0.89,0.62,0.69,1.01,Upgrade
9,P/OCF Ratio,1.00,1.00,1.45,1.13,3.89,-,0.84,0.82,0.58,0.63,0.77,Upgrade
10,EV/Sales Ratio,0.54,0.56,0.49,0.45,0.52,0.38,0.34,0.36,0.39,0.47,0.40,Upgrade
11,EV/EBITDA Ratio,-,-5.55,-,-49.29,-,9.29,8.33,15.10,34.48,-269.48,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,14.65,12.48,42.29,-,-19.14,-,Upgrade
13,EV/FCF Ratio,7.90,8.09,19.07,-,-71.22,-,3.70,3.23,3.06,3.45,5.30,Upgrade
14,Debt / Equity Ratio,2.09,2.09,2.16,1.69,1.49,1.39,1.02,1.09,1.19,1.41,1.39,Upgrade
15,Debt / FCF Ratio,7.44,7.44,17.47,-,-70.51,-,4.21,3.36,3.31,3.83,5.63,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,4.07%,6.63%,1.72%,-,-4.05%,-,Upgrade
17,Earnings Yield,-200.54%,-180.49%,-176.67%,-53.87%,-21.24%,5.49%,5.94%,0.10%,-21.01%,-58.57%,-39.98%,Upgrade
18,FCF Yield,83.49%,75.14%,32.25%,37.06%,-5.60%,-20.65%,97.06%,112.33%,161.64%,145.98%,99.22%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.02%,-0.25%,-0.36%,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-,-,-0.02%,-0.25%,-0.36%,Upgrade,
