,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,-1.12,-1.12,-1.13,-,-1.29
1,Asset Turnover,0.36,-,-,-,
2,Inventory Turnover,-,3.61,-,-,-
3,Quick Ratio,0.11,0.11,0.11,-,-
4,Current Ratio,0.12,0.12,0.12,-,-
5,Return on Assets (ROA),-59.64%,-,-,-,
6,Return on Capital (ROIC),-79.76%,-,-,-,
