,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Debt / Equity Ratio,-1.39,-1.39,-1.39,-1.59,-,-1.77,-1.77
1,Debt / EBITDA Ratio,-,-,-,15.97,-,-,-
2,Debt / FCF Ratio,-,-,-,-676.57,-,-,32.48
3,Asset Turnover,0.55,0.52,-,-,-,-,
4,Inventory Turnover,-,97.91,95.41,-,-,-,-
5,Quick Ratio,0.25,0.25,0.25,0.34,-,-,0.34
6,Current Ratio,0.28,0.28,0.28,0.38,-,-,0.38
7,Return on Assets (ROA),-13.78%,-12.98%,-,-,-,-,
8,Return on Capital (ROIC),-19.83%,-18.35%,-,-,-27.41%,-,
