,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,-1.10,-1.10,-1.10,-,6.77
1,Debt / EBITDA Ratio,4.77,3.91,3.91,-,1.37
2,Asset Turnover,0.45,-,-,-,
3,Inventory Turnover,-,38.59,-,-,-
4,Quick Ratio,0.33,0.33,0.33,-,-
5,Current Ratio,0.45,0.45,0.45,-,-
6,Return on Assets (ROA),3.86%,-,-,-,
7,Return on Capital (ROIC),111.98%,-,-,-,
