,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Feb '25 Feb 24, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,64,108,90,95,101,120,160,183,188,116,178,Upgrade
1,Market Cap Growth,13.51%,13.51%,-10.26%,-20.43%,-37.10%,-34.51%,-15.07%,57.42%,5.56%,-49.44%,-31.00%,Upgrade
2,Enterprise Value,-42,-10,-26,-30,-19,-0,18,5,26,-33,42,Upgrade
3,Last Close Price,0.25,0.42,0.35,0.37,0.39,0.47,0.62,0.66,0.60,0.37,0.54,Upgrade
4,PE Ratio,-,-,-19.45,-,18.70,9.27,13.39,9.21,11.67,-,9.64,Upgrade
5,PS Ratio,0.24,0.40,0.32,0.33,0.34,0.37,0.50,0.58,0.61,0.35,0.47,Upgrade
6,PB Ratio,0.17,0.30,0.24,0.25,0.25,0.30,0.40,0.45,0.44,0.30,0.44,Upgrade
7,P/TBV Ratio,0.29,0.29,0.24,0.25,0.26,0.30,0.40,0.45,0.44,0.30,0.44,Upgrade
8,P/FCF Ratio,8.77,-,11.64,21.42,8.70,11.18,-322.97,-,4.18,2.19,8.14,Upgrade
9,P/OCF Ratio,6.52,6.52,4.06,2.74,2.23,2.85,4.03,4.67,3.31,1.67,4.27,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,-,0.06,0.02,0.08,-,0.11,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,0.69,0.19,1.15,-,1.07,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,1.24,0.35,2.66,-,1.65,Upgrade
13,EV/FCF Ratio,-5.78,-,-,-,-,-,-35.90,-,0.57,-,1.92,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.05,0.06,0.06,0.08,0.06,0.05,0.05,0.06,0.06,Upgrade
15,Debt / FCF Ratio,3.68,-,2.22,4.75,2.04,3.13,-49.86,-,0.44,0.48,1.11,Upgrade
16,Return on Capital Employed (ROCE),-,-,-2.09%,-,1.18%,-,3.45%,3.44%,2.24%,-,6.11%,Upgrade
17,Earnings Yield,-7.46%,-4.40%,-5.14%,-6.13%,5.35%,10.78%,7.47%,10.86%,8.57%,3.85%,10.37%,Upgrade
18,FCF Yield,11.40%,6.73%,8.59%,4.67%,11.49%,8.95%,-0.31%,5.78%,23.92%,45.61%,12.28%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,7.57%,-,-,9.30%,Upgrade
20,Buyback Yield / Dilution,-,-,0.24%,0.90%,0.09%,-0.42%,-0.10%,-0.27%,-,-,Upgrade,
21,Total Shareholder Return,-,-,0.24%,0.90%,0.09%,-0.42%,7.46%,-0.27%,-,9.30%,Upgrade,
