,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,78,78,78,421,686,1372,1886,1808,1948,1566,1652,Upgrade
1,Market Cap Growth,-81.48%,-81.48%,-88.64%,-69.32%,-63.64%,-24.14%,-3.20%,15.42%,17.92%,-47.79%,-48.92%,Upgrade
2,Enterprise Value,25644,25138,23192,24192,24710,25955,25159,25581,27542,29962,29583,Upgrade
3,Last Close Price,0.01,0.01,0.01,0.05,0.09,0.18,0.24,0.23,0.25,0.20,0.21,Upgrade
4,PE Ratio,-,-,-,-,-2.04,-,-,-,20.25,3.06,-1.54,Upgrade
5,Forward PE,-,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,Upgrade
6,PS Ratio,0.02,0.02,0.03,0.06,0.10,0.34,0.46,0.55,0.58,0.27,0.25,Upgrade
7,PB Ratio,-0.02,-0.02,-0.03,-0.70,4.77,-2.11,3.62,0.36,0.29,0.26,0.27,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,5.33,0.37,0.30,0.26,0.28,Upgrade
9,P/FCF Ratio,-,-,0.19,0.37,0.82,-258.07,-,-,0.43,0.48,-10.39,Upgrade
10,P/OCF Ratio,-,-,0.19,0.37,0.82,-284.46,-,-,0.43,0.48,-10.53,Upgrade
11,PEG Ratio,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,Upgrade
12,EV/Sales Ratio,5.32,5.22,7.98,3.49,3.42,6.43,6.18,7.76,8.26,5.14,4.55,Upgrade
13,EV/EBITDA Ratio,30.64,19.03,43.61,-,6.09,-,-,-,37.79,-,-,Upgrade
14,EV/EBIT Ratio,31.39,19.09,44.19,-,6.10,-,-,-,38.01,-,-,Upgrade
15,EV/FCF Ratio,-346.24,-,57.60,21.45,29.44,-4883.72,-,-,6.13,9.27,-186.13,Upgrade
16,Debt / Equity Ratio,-6.89,-6.89,-8.03,-38.11,164.85,-37.00,47.30,4.76,3.63,4.22,4.63,Upgrade
17,Debt / FCF Ratio,-,-,62.02,20.42,28.24,-4532.58,-,-,5.36,7.98,-179.87,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,122.39%,-,-,-,7.70%,-,-,Upgrade
19,Earnings Yield,-3970.65%,-3970.65%,-4169.32%,-2.63%,-49.02%,-401.12%,-335.22%,-93.53%,4.94%,32.73%,-64.81%,Upgrade
20,FCF Yield,-95.04%,-95.04%,516.68%,267.98%,122.38%,-0.39%,-19.00%,69.27%,230.45%,206.37%,-9.62%,Upgrade
