,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,62,62,45,41,117,128,165,225,342,342,990,Upgrade
1,Market Cap Growth,-1.57%,48.71%,-61.54%,-67.53%,-29.09%,-43.33%,-51.75%,-34.21%,-65.45%,-65.45%,0%,Upgrade
2,Enterprise Value,37,120,179,174,160,200,211,339,534,565,1034,Upgrade
3,Last Close Price,0.10,0.10,0.10,0.09,0.26,0.34,0.44,0.60,1.07,1.07,3.10,Upgrade
4,PE Ratio,1.26,1.89,2.47,-,-,-,-,4.84,47.39,-26.92,-,Upgrade
5,PS Ratio,0.01,0.02,0.02,0.03,-,0.11,-,0.04,0.07,0.04,0.16,Upgrade
6,PB Ratio,0.44,0.45,0.43,0.57,1.26,1.43,0.95,1.00,2.25,2.43,7.51,Upgrade
7,P/TBV Ratio,0.44,0.44,0.42,0.54,1.21,1.37,0.93,0.99,2.22,2.42,7.51,Upgrade
8,P/FCF Ratio,1.21,1.21,0.87,1.96,-,8.84,-,-,3.57,72.83,-,Upgrade
9,P/OCF Ratio,1.19,1.19,0.87,1.95,-,8.80,-,-,3.44,48.89,-,Upgrade
10,EV/Sales Ratio,0.01,0.04,0.06,0.11,-,0.17,-,0.07,0.10,0.07,0.17,Upgrade
11,EV/EBITDA Ratio,0.61,2.09,4.43,-,-,32.15,-,4.98,26.88,27.71,61.56,Upgrade
12,EV/EBIT Ratio,0.65,2.12,4.50,-,-,35.45,-,5.14,29.85,36.86,98.98,Upgrade
13,EV/FCF Ratio,0.73,2.36,3.45,8.20,-,13.87,-,-,5.57,120.31,-,Upgrade
14,Debt / Equity Ratio,1.62,1.62,2.06,3.19,2.32,2.61,1.34,1.15,1.81,1.92,2.05,Upgrade
15,Debt / FCF Ratio,4.32,4.32,4.16,10.97,-,16.09,-,-,2.88,57.50,-,Upgrade
16,Return on Capital Employed (ROCE),16.55%,16.55%,18.90%,-,-,2.90%,-,29.24%,11.68%,10.80%,2.77%,Upgrade
17,Earnings Yield,52.82%,52.82%,40.49%,-29.26%,-,-52.26%,-,20.67%,2.11%,-3.71%,-1.92%,Upgrade
18,FCF Yield,82.75%,82.75%,114.89%,51.13%,-,11.32%,-,31.90%,28.03%,1.37%,-13.30%,Upgrade
19,Buyback Yield / Dilution,-2.78%,-17.69%,-,-20.00%,-,-13.23%,-,-11.61%,-1.53%,1.08%,-,Upgrade
20,Total Shareholder Return,-2.78%,-17.69%,-,-20.00%,-,-13.23%,-,-11.61%,-1.53%,1.08%,-,Upgrade
