,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1804,1901,1980,2754,3373,3607,4500,4608,4946,4860,6084,Upgrade
1,Market Cap Growth,-30.98%,-30.98%,-41.30%,-23.65%,-25.04%,-21.72%,-9.02%,-5.19%,-18.70%,-37.79%,-26.52%,Upgrade
2,Enterprise Value,1412,1594,1622,2502,3059,3366,4200,4434,4636,4638,5558,Upgrade
3,Last Close Price,5.01,5.12,5.09,6.90,8.21,8.67,10.63,10.73,11.35,10.95,13.46,Upgrade
4,PE Ratio,-,-,-,-673.84,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,6.08,6.40,6.78,9.40,11.27,12.23,14.93,13.11,11.39,9.15,10.34,Upgrade
6,PB Ratio,0.25,0.26,0.25,0.34,0.44,0.44,0.48,0.46,0.47,0.42,0.50,Upgrade
7,P/FCF Ratio,11.25,11.82,10.78,16.66,24.59,24.12,23.94,27.63,33.51,25.59,19.93,Upgrade
8,P/OCF Ratio,11.82,11.82,10.78,16.66,24.59,24.12,23.94,27.63,33.51,25.59,19.93,Upgrade
9,EV/Sales Ratio,4.76,5.37,5.55,8.54,10.22,11.41,13.94,12.61,10.68,8.73,9.44,Upgrade
10,EV/EBITDA Ratio,8.36,9.44,9.82,14.69,16.94,19.34,23.43,18.70,14.82,11.49,11.85,Upgrade
11,EV/EBIT Ratio,8.59,9.69,10.10,15.09,17.36,19.82,24.00,19.04,15.02,11.61,11.96,Upgrade
12,EV/FCF Ratio,8.81,9.91,8.83,15.13,22.30,22.51,22.34,26.59,31.40,24.42,18.21,Upgrade
13,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,Upgrade
14,Debt / FCF Ratio,1.24,1.24,1.09,1.21,1.46,1.34,1.06,1.20,1.35,1.05,0.66,Upgrade
15,Earnings Yield,-31.67%,-30.05%,19.03%,-0.15%,-46.98%,-48.60%,-24.91%,-29.96%,-30.84%,-24.27%,-15.00%,Upgrade
16,FCF Yield,8.89%,8.46%,9.28%,6.00%,4.07%,4.15%,4.18%,3.62%,2.98%,3.91%,5.02%,Upgrade
17,Dividend Yield,8.18%,8.01%,8.06%,5.65%,4.14%,3.69%,3.76%,3.54%,3.88%,4.57%,6.02%,Upgrade
18,Total Shareholder Return,8.18%,8.01%,8.06%,5.65%,4.14%,3.69%,3.76%,3.54%,3.88%,4.57%,6.02%,Upgrade
