,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,110,151,255,322,378,241,2110,1144,500,108,394,Upgrade
1,Market Cap Growth,-53.10%,-53.10%,-32.35%,33.85%,-82.11%,-78.96%,322.22%,962.19%,26.92%,-83.59%,-42.93%,Upgrade
2,Enterprise Value,46,84,373,451,479,347,1990,1117,490,111,390,Upgrade
3,Last Close Price,0.25,0.34,0.69,0.87,1.02,0.65,5.70,3.09,1.35,0.32,1.17,Upgrade
4,PE Ratio,-,-,-,-,-168.90,-,-,-,-,-,-,Upgrade
5,PS Ratio,3.53,5.35,2.24,1.35,2.09,2.54,19.98,10.23,5.40,1.21,5.30,Upgrade
6,PB Ratio,10.15,13.97,-85.76,8.56,8.01,5.34,33.74,12.30,4.66,1.14,4.11,Upgrade
7,P/TBV Ratio,13.97,13.97,-,8.56,8.01,5.34,33.74,12.30,4.66,1.14,4.17,Upgrade
8,P/FCF Ratio,-,-,-,15.61,19.36,-1.83,-,-,21.37,10.17,-44.33,Upgrade
9,P/OCF Ratio,-,-,-,15.60,19.34,-1.85,-,-,21.36,9.45,-48.98,Upgrade
10,EV/Sales Ratio,1.63,2.98,3.27,1.89,2.65,3.66,18.84,9.99,5.29,1.24,5.25,Upgrade
11,EV/EBITDA Ratio,-,-,-,19.25,57.55,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,19.78,65.60,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-0.64,-,-,21.87,24.58,-2.64,-,-,20.94,10.49,-43.96,Upgrade
14,Debt / Equity Ratio,0.38,0.38,-1.84,6.01,0.03,4.20,3.11,0.01,0.05,0.12,0.19,Upgrade
15,Debt / FCF Ratio,-,-,-,10.95,0.08,-1.44,-,-,0.24,1.08,-2.04,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,55.17%,15.21%,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-63.47%,-46.11%,-18.18%,3.82%,-0.59%,-23.86%,-2.50%,-1.33%,-1.10%,-12.59%,-5.35%,Upgrade
18,FCF Yield,-65.99%,-47.94%,-12.77%,6.40%,5.16%,-54.72%,-6.34%,1.47%,4.68%,9.84%,-2.26%,Upgrade
19,Buyback Yield / Dilution,-9.09%,-18.24%,0.10%,0.05%,0.05%,-0.05%,-3.23%,-10.00%,-6.67%,-,-,Upgrade
20,Total Shareholder Return,-9.09%,-18.24%,0.10%,0.05%,0.05%,-0.05%,-3.23%,-10.00%,-6.67%,-,-,Upgrade
