,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,462,472,446,292,402,541,596,845,727,566,1184,Upgrade
1,Market Cap Growth,61.74%,61.74%,11.16%,-46.09%,-32.62%,-36.00%,-18.02%,49.25%,-38.57%,-79.38%,-42.87%,Upgrade
2,Enterprise Value,-335,-369,-49,65,194,-457,-464,-425,-283,-1050,1084,Upgrade
3,Last Close Price,0.91,0.93,0.88,0.69,0.95,1.28,1.41,2.00,1.72,1.34,2.80,Upgrade
4,PE Ratio,1.38,1.43,1.60,-5.74,-,-,-,-2.58,-,1.39,-,Upgrade
5,Forward PE,-,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,Upgrade
6,PS Ratio,0.25,0.26,0.24,0.16,0.18,0.05,0.03,0.05,0.04,0.07,-,Upgrade
7,PB Ratio,0.12,0.12,0.11,0.08,0.11,0.14,0.02,0.03,0.03,0.02,0.04,Upgrade
8,P/TBV Ratio,0.14,0.14,0.14,0.10,0.14,0.17,0.03,0.04,0.04,0.03,0.06,Upgrade
9,P/FCF Ratio,2.59,-,1.82,1.62,-4.09,-,-0.44,-,-0.40,-,-,Upgrade
10,P/OCF Ratio,2.42,-,1.63,1.77,-4.09,-,-0.62,-,-0.50,-,-,Upgrade
11,PEG Ratio,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,Upgrade
12,EV/Sales Ratio,-,-,-,0.03,0.09,-,-,-,-,-,-,Upgrade
13,EV/EBITDA Ratio,-,-,-,-1.30,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-1.88,-,-,0.36,-1.98,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.02,0.02,0.01,0.02,0.09,0.10,0.03,0.06,0.03,0.02,0.02,Upgrade
16,Debt / FCF Ratio,0.44,-,0.22,0.36,-3.47,-,-0.49,-,-0.40,-,-,Upgrade
17,Return on Capital Employed (ROCE),0.29%,0.29%,-,-,-,-,-,2.80%,3.17%,2.01%,-,Upgrade
18,Earnings Yield,71.62%,70.08%,62.50%,-17.43%,-19.00%,-84.80%,7.61%,-38.75%,-55.18%,71.77%,-,Upgrade
19,FCF Yield,38.61%,37.78%,55.04%,61.57%,-24.44%,89.42%,-225.67%,-7.02%,-247.33%,-665.01%,-,Upgrade
20,Buyback Yield / Dilution,-18.38%,-20.00%,-16.77%,0.00%,0.00%,-,-,-,-,0.05%,-,Upgrade
21,Total Shareholder Return,-18.38%,-20.00%,-16.77%,0.00%,0.00%,-,-,-,-,0.05%,-,Upgrade
