,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,92,151,108,177,110,109,115,129,111,110,212,Upgrade
1,Market Cap Growth,-14.51%,-14.51%,-1.90%,62.42%,-4.24%,-15.59%,3.13%,16.98%,-47.54%,-63.02%,-59.87%,Upgrade
2,Enterprise Value,569,615,544,646,600,557,586,649,642,656,942,Upgrade
3,Last Close Price,0.13,0.22,0.15,0.26,0.16,0.16,0.17,0.19,0.16,0.16,0.30,Upgrade
4,PE Ratio,3.73,6.11,2.21,52.37,-,-,-,-,-,-,-,Upgrade
5,Forward PE,-,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,Upgrade
6,PS Ratio,0.19,0.31,0.22,0.46,0.38,0.29,0.24,0.29,0.26,0.14,0.19,Upgrade
7,PB Ratio,0.25,0.42,0.30,0.55,0.37,0.36,0.28,0.30,0.23,0.21,0.33,Upgrade
8,P/TBV Ratio,0.50,0.50,0.36,0.62,0.42,0.41,0.34,0.35,0.27,0.25,0.38,Upgrade
9,P/FCF Ratio,1.03,1.70,0.95,2.27,-6.06,-,3.69,4.02,-1.30,-,2.99,Upgrade
10,P/OCF Ratio,1.40,1.40,0.86,2.00,-20.42,-,3.28,3.24,-1.45,-,1.39,Upgrade
11,PEG Ratio,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,Upgrade
12,EV/Sales Ratio,1.18,1.27,1.11,1.69,2.11,1.48,1.23,1.43,1.53,0.84,0.82,Upgrade
13,EV/EBITDA Ratio,5.40,9.06,6.32,18.63,-,-,-,-,-,-,61.45,Upgrade
14,EV/EBIT Ratio,11.85,12.80,8.43,51.70,-,-,-,-,-,-,-,Upgrade
15,EV/FCF Ratio,6.37,6.89,4.81,8.30,-33.19,-,18.85,20.21,-7.53,-,13.30,Upgrade
16,Debt / Equity Ratio,1.45,1.45,1.47,1.52,1.77,1.83,1.26,1.29,1.24,1.23,1.28,Upgrade
17,Debt / FCF Ratio,5.82,5.82,4.62,6.31,-28.99,-,16.45,17.59,-7.14,-,11.63,Upgrade
18,Return on Capital Employed (ROCE),6.29%,6.29%,8.38%,1.75%,-,-,-,-,-,-,-,Upgrade
19,Earnings Yield,26.84%,16.37%,45.15%,1.91%,-114.51%,-119.87%,-63.68%,-44.55%,-108.87%,-378.18%,-177.95%,Upgrade
20,FCF Yield,96.70%,59.00%,105.04%,44.01%,-16.49%,-38.07%,27.12%,24.87%,-76.72%,-46.06%,33.43%,Upgrade
