,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,8209,6618,8339,11807,20952,19271,29340,30360,32919,37399,16544
1,Market Cap Growth,-43.95%,-43.95%,-60.20%,-38.73%,-28.59%,-36.53%,-10.87%,-18.82%,98.99%,171.50%,13.95%
2,Enterprise Value,16626,13488,14684,16902,24771,22929,33797,33649,33980,38586,17302
3,PE Ratio,9.65,7.63,9.46,10.79,21.19,17.55,20.29,20.07,24.77,34.15,15.51
4,PS Ratio,3.13,2.47,3.17,4.26,8.27,7.36,10.26,10.77,13.81,18.29,8.33
5,PB Ratio,0.62,0.50,0.60,0.81,1.53,1.45,2.02,1.97,2.25,2.62,1.54
6,P/FCF Ratio,-,-,-,-,-,12.60,44.42,61.96,-,52.19,16.06
7,P/OCF Ratio,-,-,10.38,14.23,7.83,5.88,16.42,20.19,23.51,29.41,13.57
8,EV/Sales Ratio,6.40,5.04,5.58,6.09,9.77,8.76,11.82,11.94,14.26,18.87,8.71
9,EV/EBITDA Ratio,7.23,5.69,6.17,6.70,10.81,9.55,12.56,12.62,15.10,20.07,9.17
10,EV/EBIT Ratio,9.97,7.86,8.84,9.27,14.88,13.04,16.75,16.71,20.06,26.84,11.90
11,EV/FCF Ratio,-,-,-,-,-,14.99,51.17,68.68,-,53.85,16.80
12,Debt / Equity Ratio,0.66,0.66,0.57,0.53,0.47,0.48,0.40,0.45,0.34,0.20,0.26
13,Debt / FCF Ratio,-,-,-,-,-,4.18,8.73,14.04,-,3.95,2.72
14,Return on Capital Employed (ROCE),8.47%,8.72%,8.59%,9.76%,10.08%,10.48%,11.21%,9.94%,9.25%,9.00%,11.55%
15,Earnings Yield,10.25%,13.10%,10.57%,9.27%,4.72%,5.70%,4.93%,4.98%,4.04%,2.93%,6.45%
16,Earnings Yield,10.25%,13.10%,10.57%,9.27%,4.72%,5.70%,4.93%,4.98%,4.04%,2.93%,6.45%
17,FCF Yield,-,-10.81%,-17.51%,-1.08%,7.94%,2.25%,1.61%,1.36%,1.92%,6.23%,
18,Dividend Yield,5.10%,6.52%,5.35%,4.86%,4.88%,7.30%,5.85%,5.80%,4.86%,3.94%,7.99%
19,Buyback Yield / Dilution,-4.77%,-0.74%,-9.16%,-11.24%,-5.08%,-4.28%,-1.23%,-2.04%,-5.31%,-2.84%,-32.83%
20,Total Shareholder Return,0.34%,5.78%,-3.81%,-6.38%,-0.20%,3.02%,4.62%,3.76%,-0.45%,1.10%,-24.84%
