Stock Symbol,Date,Stock Price
002271,2024-09-30,13.79
002271,2024-06-30,11.66
002271,2024-03-31,14.43
002271,2023-12-31,17.52
002271,2023-09-30,24.34
002271,2023-06-30,24.87
002271,2023-03-31,30.43
002271,2022-12-31,30.51
002271,2022-09-30,23.97
002271,2022-06-30,46.79
002271,2022-03-31,40.58
002271,2021-12-31,47.57
002271,2021-09-30,40.02
002271,2021-06-30,49.95
002271,2021-03-31,45.95
002271,2020-12-31,34.85
002271,2020-09-30,32.25
002271,2020-06-30,24.35
002271,2020-03-31,20.27
002271,2019-12-31,15.64
