,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,497,237,257,312,682,585,349,432,319,212,146,Upgrade
1,Market Cap Growth,-24.18%,-24.18%,-62.31%,-46.64%,95.69%,35.42%,9.42%,103.26%,118.99%,-0.96%,-30.41%,Upgrade
2,Enterprise Value,1214,941,932,775,897,1224,1028,1277,1028,411,252,Upgrade
3,Last Close Price,0.14,0.07,0.07,0.09,0.20,0.20,0.15,0.19,0.14,0.09,0.14,Upgrade
4,PE Ratio,-,-,-,5.86,-,12.03,43.47,-,-,-,-,Upgrade
5,PS Ratio,1.18,0.56,0.29,0.34,1.05,0.78,1.37,17.59,-,6.77,-,Upgrade
6,PB Ratio,0.79,0.27,0.28,0.28,0.66,1.02,0.58,0.77,0.57,0.29,1.13,Upgrade
7,P/TBV Ratio,0.38,0.38,0.39,0.38,0.85,1.09,0.90,1.19,0.87,0.64,1.46,Upgrade
8,P/FCF Ratio,-,-4.19,-,-,1.91,1.18,0.98,2.15,-,3.51,-,Upgrade
9,P/OCF Ratio,-,-4.19,-,-,1.91,1.18,0.98,2.14,-,3.50,-,Upgrade
10,EV/Sales Ratio,2.88,2.23,1.06,0.85,1.38,1.63,4.05,52.04,-,13.10,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,5.58,5.20,6.03,12.73,92.34,-,102.31,-,Upgrade
12,EV/EBIT Ratio,-,-,-,5.65,5.26,6.11,13.09,102.95,-,123.58,-,Upgrade
13,EV/FCF Ratio,-,-16.69,-,-,2.51,2.46,2.90,6.35,-,6.78,-,Upgrade
14,Debt / Equity Ratio,0.71,0.71,0.69,0.57,0.63,0.82,1.06,1.49,1.49,0.73,2.52,Upgrade
15,Debt / FCF Ratio,-,-10.82,-,-,1.83,0.94,1.80,4.14,-,8.86,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,7.35%,8.98%,20.20%,7.25%,1.16%,-,0.30%,-,Upgrade
17,Earnings Yield,-42.66%,-89.65%,-44.75%,17.06%,4.45%,8.31%,2.30%,-1.34%,-,-14.20%,-,Upgrade
18,FCF Yield,-23.84%,-23.84%,-86.27%,-45.92%,52.36%,85.02%,101.79%,46.60%,-,28.52%,-,Upgrade
19,Buyback Yield / Dilution,10.46%,26.65%,-14.91%,-72.37%,-29.23%,-17.45%,-,-52.43%,-,-40.54%,-,Upgrade
20,Total Shareholder Return,10.46%,26.65%,-14.91%,-72.37%,-29.23%,-17.45%,-,-52.43%,-,-40.54%,-,Upgrade
