Stock Symbol,Date,Stock Price
4333,2024-09-30,249.201
4333,2024-06-30,248.802
4333,2024-03-31,248.404
4333,2023-12-31,248.016
4333,2023-09-30,247.629
4333,2023-06-30,247.243
4333,2023-03-31,246.857
4333,2022-12-31,246.482
4333,2022-09-30,295.404
4333,2022-06-30,295.03
4333,2022-03-31,368.414
4333,2021-12-31,368.05
4333,2021-09-30,367.687
4333,2021-06-30,367.324
4333,2021-03-31,146.567
4333,2020-12-31,146.215
4333,2020-09-30,145.865
4333,2020-06-30,388.622
4333,2020-03-31,388.272
4333,2019-12-31,387.933
