Stock Symbol,Date,Stock Price
300709,2024-09-30,38.4
300709,2024-06-30,25.28
300709,2024-03-31,33.18
300709,2023-12-31,31.01
300709,2023-09-30,22.11
300709,2023-06-30,24.53
300709,2023-03-31,24.42
300709,2022-12-31,28.03
300709,2022-09-30,28.58
300709,2022-06-30,29.42
300709,2022-03-31,35.95
300709,2021-12-31,49.4
300709,2021-09-30,25.94
300709,2021-06-30,35.16
300709,2021-03-31,28.03
300709,2020-12-31,36.07
300709,2020-09-30,42.64
300709,2020-06-30,65.57
300709,2020-03-31,42.88
300709,2019-12-31,51.14
