,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,849,499,449,192,105,346,376,435,435,574,576,Upgrade
1,Market Cap Growth,159.26%,159.26%,329.49%,-44.46%,-72.21%,-20.45%,-13.64%,-24.14%,-24.37%,-34.90%,-42.86%,Upgrade
2,Enterprise Value,2386,1973,2095,1884,2149,2396,2393,2326,2327,2510,2453,Upgrade
3,PS Ratio,2.41,1.42,1.18,0.57,0.30,0.89,0.87,0.98,1.06,1.56,1.42,Upgrade
4,PB Ratio,2.76,2.76,1.92,2.01,0.80,1.15,1.09,0.58,0.58,0.65,0.65,Upgrade
5,P/FCF Ratio,13.90,-,3.32,0.46,0.26,3.73,2.91,2.54,2.06,3.10,2.85,Upgrade
6,P/OCF Ratio,5.05,5.05,3.23,0.46,0.25,2.70,2.27,2.44,2.00,2.90,2.68,Upgrade
7,EV/Sales Ratio,6.79,5.61,5.53,5.54,6.25,6.14,5.53,5.23,5.66,6.83,6.06,Upgrade
8,EV/EBITDA Ratio,11.83,10.09,9.70,10.97,12.77,-50.70,-,8.97,9.39,11.23,9.56,Upgrade
9,EV/EBIT Ratio,45.03,37.05,-,139.64,-,-10.41,-,31.81,-,47.53,-,Upgrade
10,EV/FCF Ratio,39.07,-,15.50,4.54,5.25,25.81,18.49,13.55,11.02,13.56,12.13,Upgrade
11,Debt / Equity Ratio,8.78,8.78,7.19,19.19,15.02,6.97,6.07,3.02,3.51,1.88,2.01,Upgrade
12,Debt / FCF Ratio,25.98,-,12.42,4.42,4.78,22.70,16.18,13.21,12.49,8.92,8.77,Upgrade
13,Return on Capital Employed (ROCE),5.05%,5.05%,-,0.88%,-,-11.45%,-,3.44%,-,3.24%,-,Upgrade
14,Earnings Yield,-14.73%,-25.07%,-26.74%,-81.91%,-167.08%,-127.08%,-120.31%,-59.49%,-58.10%,-21.63%,-20.18%,Upgrade
15,Earnings Yield,-14.73%,-25.07%,-26.74%,-81.91%,-167.08%,-127.08%,-120.31%,-59.49%,-58.10%,-21.63%,-20.18%,Upgrade
16,FCF Yield,7.20%,12.25%,30.11%,215.86%,391.87%,26.80%,34.42%,39.44%,48.51%,32.26%,35.13%,Upgrade
17,Buyback Yield / Dilution,-307.71%,-284.36%,-324.07%,-9.26%,-5.30%,-,0.00%,-0.10%,-10.01%,-9.89%,-,Upgrade
18,Total Shareholder Return,-307.71%,-284.36%,-324.07%,-9.26%,-5.30%,-,0.00%,-0.10%,-10.01%,-9.89%,-,Upgrade
