Stock Symbol,Date,Stock Price
601860,2024-09-30,2.9356
601860,2024-06-30,2.4545
601860,2024-03-31,2.4084
601860,2023-12-31,2.3896
601860,2023-09-30,2.5312
601860,2023-06-30,2.3707
601860,2023-03-31,2.3536
601860,2022-12-31,2.3536
601860,2022-09-30,2.4717
601860,2022-06-30,2.608
601860,2022-03-31,2.7146
601860,2021-12-31,2.943
601860,2021-09-30,2.9255
601860,2021-06-30,3.189
601860,2021-03-31,3.2861
601860,2020-12-31,3.6028
601860,2020-09-30,3.4744
601860,2020-06-30,3.6199
601860,2020-03-31,3.5247
601860,2019-12-31,4.694
