Stock Symbol,Date,Stock Price
000628,2024-09-30,49.48
000628,2024-06-30,44.19
000628,2024-03-31,75.75
000628,2023-12-31,49.48
000628,2023-09-30,16.26
000628,2023-06-30,16.06
000628,2023-03-31,14.78
000628,2022-12-31,11.1
000628,2022-09-30,11.63
000628,2022-06-30,17.32
000628,2022-03-31,12.0
000628,2021-12-31,11.04
000628,2021-09-30,8.31
000628,2021-06-30,8.08
000628,2021-03-31,9.19
000628,2020-12-31,8.27
000628,2020-09-30,8.01
000628,2020-06-30,8.35
000628,2020-03-31,8.27
000628,2019-12-31,9.66
