Stock Symbol,Date,Stock Price
000668,2024-09-30,7.83
000668,2024-06-30,6.1
000668,2024-03-31,8.67
000668,2023-12-31,12.7
000668,2023-09-30,11.44
000668,2023-06-30,11.6
000668,2023-03-31,11.63
000668,2022-12-31,13.0
000668,2022-09-30,14.12
000668,2022-06-30,11.48
000668,2022-03-31,15.3
000668,2021-12-31,15.88
000668,2021-09-30,13.88
000668,2021-06-30,17.94
000668,2021-03-31,13.04
000668,2020-12-31,13.51
000668,2020-09-30,17.81
000668,2020-06-30,18.92
000668,2020-03-31,10.67
000668,2019-12-31,13.36
