Stock Symbol,Date,Stock Price
603259,2024-09-30,52.36
603259,2024-06-30,39.19
603259,2024-03-31,45.05
603259,2023-12-31,70.98
603259,2023-09-30,84.07
603259,2023-06-30,60.79
603259,2023-03-31,76.55
603259,2022-12-31,77.99
603259,2022-09-30,69.03
603259,2022-06-30,100.13
603259,2022-03-31,107.68
603259,2021-12-31,113.62
603259,2021-09-30,146.41
603259,2021-06-30,150.04
603259,2021-03-31,111.71
603259,2020-12-31,107.35
603259,2020-09-30,80.88
603259,2020-06-30,76.97
603259,2020-03-31,51.35
603259,2019-12-31,52.27
