,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,671,680,769,1020,1109,948,1092,1038,939,1154,1521,Upgrade
1,Market Cap Growth,-13.95%,-33.33%,-30.65%,7.55%,1.64%,-8.62%,16.19%,-10.08%,-38.24%,-25.43%,-3.41%,Upgrade
2,Enterprise Value,820,1248,1377,1613,1362,1196,1383,1376,1321,1486,1408,Upgrade
3,Last Close Price,0.07,0.08,0.09,0.11,0.12,0.11,0.12,0.12,0.10,0.13,0.17,Upgrade
4,PE Ratio,-,-,-,-,1.87,5.83,16.66,-26.55,-,-,-,Upgrade
5,Forward PE,-,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,Upgrade
6,PS Ratio,1.28,1.31,1.70,2.98,2.52,2.06,3.34,3.77,4.21,4.63,3.56,Upgrade
7,PB Ratio,0.16,0.16,0.18,0.24,0.26,0.25,0.29,0.28,0.25,0.31,0.38,Upgrade
8,P/TBV Ratio,0.16,0.16,0.18,0.24,0.26,0.25,0.29,0.28,0.25,0.31,0.38,Upgrade
9,P/FCF Ratio,-,6.13,12.15,23.00,6.12,5.11,12.00,9.08,66.85,-,11.29,Upgrade
10,P/OCF Ratio,-,4.58,8.25,20.51,5.87,4.78,10.81,8.38,18.59,-,10.58,Upgrade
11,EV/Sales Ratio,1.56,2.41,3.05,4.72,3.10,2.60,4.24,4.99,5.91,5.96,3.29,Upgrade
12,EV/EBITDA Ratio,7.20,7.36,10.02,21.45,6.49,5.64,14.95,12.78,24.67,-,10.98,Upgrade
13,EV/EBIT Ratio,47.15,-,33.48,-,10.10,8.85,91.06,46.25,-49.00,-,-,Upgrade
14,EV/FCF Ratio,-,11.25,21.76,36.38,7.52,6.45,15.20,12.04,93.98,-,10.45,Upgrade
15,Debt / Equity Ratio,0.08,0.16,0.21,0.20,0.20,0.13,0.13,0.14,0.13,0.21,0.11,Upgrade
16,Debt / FCF Ratio,-,6.12,13.75,19.53,4.70,2.63,5.49,4.60,34.26,-,3.11,Upgrade
17,Return on Capital Employed (ROCE),0.41%,-,0.90%,-,2.97%,3.51%,0.39%,0.77%,-0.66%,-,-,Upgrade
18,Earnings Yield,-6.67%,-6.96%,-4.28%,45.97%,53.43%,17.16%,6.00%,-3.77%,-21.47%,-15.56%,2.09%,Upgrade
19,FCF Yield,16.32%,8.23%,4.35%,16.33%,19.55%,8.33%,11.02%,1.50%,-2.82%,8.86%,Upgrade,
20,Total Shareholder Return,-0.09%,-,-,-,-,-,-,-,-,-,-,Upgrade
