,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5225,6061,11656,-,-
1,Enterprise Value,4674,4922,10530,-,-
2,Last Close Price,10.10,11.70,22.50,-,-
3,PS Ratio,7.21,16.34,38.58,-,-
4,PB Ratio,1.52,1.75,3.35,-,-
5,P/TBV Ratio,1.78,1.78,3.39,-,-
6,EV/Sales Ratio,7.00,13.27,34.85,-,-
7,Debt / Equity Ratio,0.23,0.23,0.23,-,0.14
8,Asset Turnover,0.05,-,-,-,
9,Inventory Turnover,-,0.91,-,-,-
10,Quick Ratio,2.06,2.06,2.06,-,-
11,Current Ratio,2.43,2.43,2.43,-,-
12,Return on Equity (ROE),-13.21%,-,-,-,
13,Return on Assets (ROA),-5.28%,-,-,-,
14,Return on Capital (ROIC),-6.60%,-,-,-,
15,Earnings Yield,-10.13%,-5.97%,-2.14%,-,-
16,FCF Yield,-12.78%,-8.53%,-2.83%,-,-
