,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,49,63,74,118,134,190,216,183,139,94,110,Upgrade
1,Market Cap Growth,-46.48%,-46.48%,-45.06%,-37.99%,-37.69%,3.62%,54.76%,95.58%,27.27%,-25.17%,-59.38%,Upgrade
2,Enterprise Value,2,-4,10,17,26,64,98,153,116,83,77,Upgrade
3,Last Close Price,0.06,0.08,0.09,0.14,0.16,0.23,0.23,0.18,0.13,0.09,0.11,Upgrade
4,PE Ratio,21.38,-,-5.75,-,-,-,-,2.13,4.86,4.15,29.16,Upgrade
5,Forward PE,-,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,Upgrade
6,PS Ratio,0.13,0.17,0.19,0.38,0.40,0.69,0.47,0.38,0.37,0.20,0.28,Upgrade
7,PB Ratio,0.20,0.26,0.28,0.49,0.49,0.63,0.69,0.52,0.50,0.35,0.44,Upgrade
8,P/TBV Ratio,0.26,0.26,0.28,0.49,0.49,0.63,0.69,0.52,0.50,0.35,0.44,Upgrade
9,P/FCF Ratio,-,-,-2.17,-,-11.88,-,1.86,2.03,6.50,4.43,-4.83,Upgrade
10,P/OCF Ratio,-,-,-2.17,-,-11.88,-,1.85,2.03,6.50,4.42,-4.84,Upgrade
11,EV/Sales Ratio,0.01,-,0.02,0.06,0.08,0.23,0.21,0.32,0.31,0.18,0.20,Upgrade
12,EV/EBITDA Ratio,1.09,-,-0.72,-,-,-,-,1.52,3.76,3.30,17.72,Upgrade
13,EV/EBIT Ratio,1.14,-,-0.72,-,-,-,-,1.52,3.77,3.33,18.82,Upgrade
14,EV/FCF Ratio,-,-,-0.28,-,-2.30,-,0.84,1.70,5.39,3.90,-3.39,Upgrade
15,Debt / Equity Ratio,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.10,0.11,0.17,Upgrade
16,Debt / FCF Ratio,-,-,-0.38,-,-1.62,-,0.20,0.29,1.31,1.44,-1.89,Upgrade
17,Return on Capital Employed (ROCE),0.76%,-,-5.08%,-,-,-,-,27.75%,10.67%,8.77%,1.55%,Upgrade
18,Earnings Yield,4.68%,3.63%,-17.40%,-29.08%,-11.40%,-15.70%,28.82%,46.85%,20.58%,24.07%,3.43%,Upgrade
19,FCF Yield,-29.67%,-29.67%,-46.11%,-21.76%,-8.42%,4.57%,53.82%,49.18%,15.39%,22.57%,-20.70%,Upgrade
20,Dividend Yield,0.00%,-,-,-,-,-,25.96%,17.00%,-,-,-,Upgrade
21,Total Shareholder Return,-,-,-,-,-,25.96%,17.00%,-,-,-,Upgrade,
