Stock Symbol,Date,Stock Price
300753,2024-09-30,13.95
300753,2024-06-30,10.95
300753,2024-03-31,13.12
300753,2023-12-31,17.08
300753,2023-09-30,17.25
300753,2023-06-30,18.23
300753,2023-03-31,14.77
300753,2022-12-31,17.97
300753,2022-09-30,12.17
300753,2022-06-30,14.09
300753,2022-03-31,19.42
300753,2021-12-31,20.18
300753,2021-09-30,19.13
300753,2021-06-30,22.5
300753,2021-03-31,26.23
300753,2020-12-31,20.76
300753,2020-09-30,25.25
300753,2020-06-30,31.57
300753,2020-03-31,23.67
300753,2019-12-31,25.51
