,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,689,1092,669,664,463,344,1069,1301,1139,1288,967,Upgrade
1,Market Cap Growth,64.45%,64.45%,44.58%,92.97%,-56.70%,-73.57%,-6.12%,1.08%,17.79%,105.19%,240.98%,Upgrade
2,Enterprise Value,701,1110,655,630,515,360,1108,1326,1162,1249,903,Upgrade
3,Last Close Price,1.20,1.90,1.20,1.19,0.83,0.74,2.30,2.80,2.45,2.77,1.98,Upgrade
4,PE Ratio,-,-17.72,-,-93.74,-,-72.14,-,-,-,-,-,Upgrade
5,PS Ratio,2.23,3.60,2.51,3.11,2.15,1.36,4.46,6.38,6.70,7.68,4.70,Upgrade
6,PB Ratio,4.36,6.52,5.02,3.29,2.24,2.13,6.49,7.53,6.58,6.73,4.04,Upgrade
7,P/TBV Ratio,6.93,6.93,5.45,3.72,2.52,2.50,7.56,8.67,7.51,7.63,4.48,Upgrade
8,P/FCF Ratio,-,-,-50.82,-,321.71,-,66.32,-,-564.87,-,-38.37,Upgrade
9,P/OCF Ratio,38.08,38.08,516.05,-,29.58,-,30.04,-,61.00,-,-704.66,Upgrade
10,EV/Sales Ratio,2.31,3.66,2.46,2.96,2.39,1.43,4.62,6.50,6.83,7.45,4.39,Upgrade
11,EV/EBITDA Ratio,13.52,31.44,-,-2973.85,-,29.24,-,-195.04,-,-,-,Upgrade
12,EV/EBIT Ratio,30.27,47.93,-,-48.17,-,-240.45,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-380.33,-,-49.77,-,357.89,-,68.73,-,-576.57,-,-35.82,Upgrade
14,Debt / Equity Ratio,0.47,0.47,0.54,0.15,0.24,0.43,0.32,0.32,0.37,0.30,0.22,Upgrade
15,Debt / FCF Ratio,-,-,-5.47,-,35.08,-,3.26,-,-31.83,-,-2.13,Upgrade
16,Return on Capital Employed (ROCE),10.48%,10.48%,-,-6.06%,-,-0.76%,-,-,-,-,-,Upgrade
17,Earnings Yield,-8.93%,-5.64%,-10.32%,-1.07%,-0.41%,-1.39%,-1.64%,-3.24%,-4.12%,-4.51%,-4.57%,Upgrade
18,FCF Yield,-0.27%,-0.17%,-1.97%,-0.24%,0.31%,4.39%,1.51%,-0.25%,-0.18%,-1.06%,-2.61%,Upgrade
19,Buyback Yield / Dilution,-1.79%,-5.48%,-0.88%,-20.00%,-18.96%,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-1.79%,-5.48%,-0.88%,-20.00%,-18.96%,-,-,-,-,-,-,Upgrade
