,Fiscal Quarter,Current,Q1 2019,Q1 2018
,Period Ending,"Mar '25 Mar 10, 2025","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Debt / Equity Ratio,0.89,0.89,1.01
1,Debt / EBITDA Ratio,2.42,2.42,2.28
2,Quick Ratio,1.00,1.00,-
3,Current Ratio,1.09,1.09,-
4,Return on Capital Employed (ROCE),10.24%,4.85%,-
