,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,248,240,188,216,228,268,328,392,232,268,384,Upgrade
1,Market Cap Growth,11.11%,11.11%,-17.54%,-19.40%,-30.49%,-31.63%,41.38%,46.27%,-39.58%,-63.78%,-66.90%,Upgrade
2,Enterprise Value,368,162,163,29,65,148,180,187,374,445,576,Upgrade
3,Last Close Price,0.62,0.57,0.42,0.46,0.45,0.51,0.60,0.70,0.39,0.42,0.56,Upgrade
4,PE Ratio,8.92,8.64,7.42,14.52,12.17,12.59,18.82,18.90,-12.19,-,-,Upgrade
5,PS Ratio,0.06,0.06,0.05,0.06,0.06,0.07,0.09,0.11,0.06,0.06,0.07,Upgrade
6,PB Ratio,0.68,0.65,0.51,0.59,0.61,0.71,0.87,1.04,0.58,0.67,0.86,Upgrade
7,P/TBV Ratio,0.66,0.66,0.51,0.59,0.62,0.71,0.88,1.05,0.59,0.67,0.86,Upgrade
8,P/FCF Ratio,-,-,-3.19,-,2.36,8.03,-,-,0.47,1.12,2.89,Upgrade
9,P/OCF Ratio,-,-,-3.52,-,2.17,6.04,-17.92,-,0.47,1.10,2.59,Upgrade
10,EV/Sales Ratio,0.08,0.04,0.04,0.01,0.02,0.04,0.05,0.05,0.10,0.10,0.11,Upgrade
11,EV/EBITDA Ratio,6.82,4.08,3.54,0.69,2.48,7.35,4.79,-3.05,-,-,-,Upgrade
12,EV/EBIT Ratio,11.59,4.94,4.36,0.93,4.51,-,7.57,-2.46,-,-,-,Upgrade
13,EV/FCF Ratio,-3.40,-,-2.77,-,0.68,4.44,-,-,0.76,1.86,4.34,Upgrade
14,Debt / Equity Ratio,0.91,0.91,0.73,0.49,0.20,0.31,0.31,0.33,0.67,1.00,1.06,Upgrade
15,Debt / FCF Ratio,-,-,-4.59,-,0.78,3.52,-,-,0.55,1.69,3.59,Upgrade
16,Return on Capital Employed (ROCE),8.57%,8.57%,9.57%,7.92%,3.72%,-,5.97%,-18.31%,-,-,-,Upgrade
17,Earnings Yield,11.21%,11.58%,13.47%,6.89%,8.21%,7.94%,5.31%,5.29%,-8.20%,-27.04%,-7.51%,Upgrade
18,FCF Yield,-43.59%,-45.04%,-31.36%,-43.13%,42.36%,12.46%,-9.16%,91.50%,211.53%,89.24%,34.57%,Upgrade
19,Dividend Yield,11.29%,12.35%,16.73%,14.23%,13.24%,10.76%,8.35%,14.28%,31.12%,9.52%,-,Upgrade
20,Total Shareholder Return,11.29%,12.35%,16.73%,14.23%,13.24%,10.76%,8.35%,14.28%,31.12%,9.52%,-,Upgrade
