Stock Symbol,Date,Stock Price
600649,2024-09-30,4.94
600649,2024-06-30,3.2642
600649,2024-03-31,3.4608
600649,2023-12-31,3.6378
600649,2023-09-30,4.2671
600649,2023-06-30,3.7707
600649,2023-03-31,3.7324
600649,2022-12-31,3.8187
600649,2022-09-30,3.5597
600649,2022-06-30,3.9928
600649,2022-03-31,4.4219
600649,2021-12-31,3.8342
600649,2021-09-30,4.0674
600649,2021-06-30,4.3481
600649,2021-03-31,4.613
600649,2020-12-31,4.9602
600649,2020-09-30,5.2068
600649,2020-06-30,5.3595
600649,2020-03-31,4.9535
600649,2019-12-31,5.161
