Stock Symbol,Date,Stock Price
300052,2024-09-30,14.75
300052,2024-06-30,12.01
300052,2024-03-31,15.41
300052,2023-12-31,16.97
300052,2023-09-30,17.22
300052,2023-06-30,20.22
300052,2023-03-31,23.04
300052,2022-12-31,20.05
300052,2022-09-30,17.03
300052,2022-06-30,22.68
300052,2022-03-31,27.19
300052,2021-12-31,32.66
300052,2021-09-30,15.07
300052,2021-06-30,8.3
300052,2021-03-31,7.15
300052,2020-12-31,9.26
300052,2020-09-30,11.57
300052,2020-06-30,11.91
300052,2020-03-31,12.11
300052,2019-12-31,15.47
