Stock Symbol,Date,Stock Price
TMC,2024-09-30,8.5
TMC,2024-06-30,9.7
TMC,2024-03-31,8.99
TMC,2023-12-31,8.43
TMC,2023-09-30,8.43
TMC,2023-06-30,8.8
TMC,2023-03-31,9.26
TMC,2022-12-31,11.62
TMC,2022-09-30,12.8
TMC,2022-06-30,14.07
TMC,2022-03-31,13.72
TMC,2021-12-31,10.89
TMC,2021-09-30,9.43
TMC,2021-06-30,10.29
TMC,2021-03-31,10.11
TMC,2020-12-31,12.02
TMC,2020-09-30,11.39
TMC,2020-06-30,10.91
TMC,2020-03-31,11.46
TMC,2019-12-31,11.08
