,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,141.04,141.04,-,-
1,Short-Term Investments,2.99,2.99,-,-
2,Cash & Short-Term Investments,144.03,144.03,-,3.31
3,Accounts Receivable,254.66,254.66,-,-
4,Other Receivables,1.15,1.15,-,-
5,Receivables,255.8,255.8,-,-
6,Prepaid Expenses,9.7,9.7,-,-
7,Other Current Assets,19.29,19.29,-,-
8,Total Current Assets,428.82,428.82,-,-
9,"Property, Plant & Equipment",22.95,22.95,-,-
10,Other Intangible Assets,1.82,1.82,-,-
11,Long-Term Deferred Tax Assets,3.65,3.65,-,-
12,Other Long-Term Assets,120.48,120.48,-,-
13,Total Assets,577.72,577.72,-,-
14,Accounts Payable,73.71,73.71,-,-
15,Accrued Expenses,3.41,3.41,-,-
16,Current Portion of Long-Term Debt,158.0,158.0,-,-
17,Current Portion of Leases,1.25,1.25,-,-
18,Current Income Taxes Payable,6.55,6.55,-,-
19,Current Unearned Revenue,5.42,5.42,-,-
20,Total Current Liabilities,248.35,248.35,-,-
21,Long-Term Debt,16.96,16.96,-,-
22,Long-Term Leases,5.23,5.23,-,-
23,Long-Term Deferred Tax Liabilities,8.68,8.68,-,-
24,Total Liabilities,279.21,279.21,-,-
25,Common Stock,276.52,276.52,-,-
26,Retained Earnings,193.09,193.09,-,-
27,Comprehensive Income & Other,-171.1,-171.1,-,-
28,Shareholders' Equity,298.51,298.51,-,94.13
29,Total Liabilities & Equity,577.72,577.72,-,-
30,Total Debt,181.44,181.44,-,40.78
31,Net Cash (Debt),-37.41,-37.41,-,-37.48
32,Net Cash Per Share,-0.05,-0.05,-,-0.06
33,Filing Date Shares Outstanding,770.65,770.65,645.65,645.65
34,Total Common Shares Outstanding,770.65,770.65,645.65,645.65
35,Working Capital,180.48,180.48,-,-
36,Book Value Per Share,0.39,0.39,-,0.15
37,Tangible Book Value,296.69,296.69,-,90.56
38,Tangible Book Value Per Share,0.38,0.38,-,0.14
