,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,61.62,61.62,56.82,56.82
1,Cost of Revenue,24.13,24.13,22.28,22.28
2,Gross Profit,37.49,37.49,34.54,34.54
3,"Selling, General & Admin",12.9,12.9,11.98,11.98
4,Other Operating Expenses,1.56,1.56,2.15,2.15
5,Operating Expenses,14.46,14.46,14.13,14.13
6,Operating Income,23.03,23.03,20.4,20.4
7,Interest Expense,-1.58,-1.58,-0.42,-0.42
8,Interest & Investment Income,0.18,0.18,0.08,0.08
9,Currency Exchange Gain (Loss),0.24,0.24,-,-
10,Other Non Operating Income (Expenses),0.18,0.18,0.27,0.27
11,Pretax Income,22.05,22.05,20.32,20.32
12,Income Tax Expense,4.1,4.1,3.13,3.13
13,Net Income,17.95,17.95,17.2,17.2
14,Net Income to Common,17.95,17.95,17.2,17.2
15,Shares Outstanding (Basic),771,771,646,646
16,Shares Outstanding (Diluted),771,771,646,646
17,EPS (Basic),0.02,0.02,0.03,0.03
18,EPS (Diluted),0.02,0.02,0.03,0.03
19,Free Cash Flow,-10.67,-10.67,7.15,7.15
20,Free Cash Flow Per Share,-0.01,-0.01,0.01,0.01
21,Gross Margin,60.84%,60.84%,60.79%,60.79%
22,Operating Margin,37.38%,37.38%,35.91%,35.91%
23,Profit Margin,29.13%,29.13%,30.27%,30.27%
24,Free Cash Flow Margin,-17.31%,-17.31%,12.59%,12.59%
25,EBITDA,24.65,24.65,21.83,21.83
26,EBITDA Margin,40.01%,40.01%,38.42%,38.42%
27,D&A For EBITDA,1.62,1.62,1.43,1.43
28,EBIT,23.03,23.03,20.4,20.4
29,EBIT Margin,37.38%,37.38%,35.91%,35.91%
30,Effective Tax Rate,18.59%,18.59%,15.38%,15.38%
