,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,4226,3639,3279,4595,11239,10931,11381,15356,19449,5139,2617,Upgrade
1,Market Cap Growth,-20.80%,-20.80%,-70.82%,-57.97%,-1.25%,-28.81%,-41.48%,198.80%,643.22%,94.62%,-13.19%,Upgrade
2,Enterprise Value,8305,7447,7086,6840,13491,13301,13778,17993,21947,6797,4291,Upgrade
3,Last Close Price,8.93,7.69,6.93,9.71,23.75,23.10,24.05,32.45,41.10,10.86,5.53,Upgrade
4,PE Ratio,-,-,-,-,-,-,12.12,-11.88,-,12.34,4.07,Upgrade
5,Forward PE,-,15.07,9.75,8.96,26.06,26.52,13.18,17.85,34.77,8.32,6.91,Upgrade
6,PS Ratio,1.81,1.56,1.43,2.68,8.71,6.99,5.77,7.71,11.96,3.42,1.48,Upgrade
7,PB Ratio,0.98,0.85,0.70,0.98,2.26,2.06,2.03,3.07,4.30,0.89,0.45,Upgrade
8,P/TBV Ratio,1.13,1.13,0.92,1.28,2.96,2.69,2.67,4.24,6.15,1.15,0.58,Upgrade
9,P/FCF Ratio,-,-,14.87,122.29,-,32.65,18.14,75.13,-,-,-,Upgrade
10,P/OCF Ratio,6.49,6.49,5.65,19.19,-,15.23,11.20,22.18,35.30,7.33,2.81,Upgrade
11,EV/Sales Ratio,3.56,3.20,3.08,3.99,10.45,8.51,6.99,9.04,13.49,4.52,2.43,Upgrade
12,EV/EBITDA Ratio,9.06,22.26,24.52,33.21,52.35,25.14,15.18,18.36,31.73,8.91,4.24,Upgrade
13,EV/EBIT Ratio,-,-488.36,-,-40.83,-,62.57,19.74,22.48,42.94,11.46,5.13,Upgrade
14,EV/FCF Ratio,-72.93,-,32.14,182.05,-,39.73,21.96,88.04,-,-,-,Upgrade
15,Debt / Equity Ratio,0.97,0.97,0.87,0.88,0.48,0.45,0.46,0.60,0.65,0.56,0.57,Upgrade
16,Debt / FCF Ratio,-,-,18.47,110.64,-,7.17,4.13,14.70,-,-,-,Upgrade
17,Return on Capital Employed (ROCE),-,-0.28%,-,-2.76%,-,3.82%,11.72%,14.82%,10.32%,9.86%,11.86%,Upgrade
18,Earnings Yield,-8.48%,-9.85%,-4.57%,-4.57%,-1.56%,4.37%,8.25%,-8.42%,-8.18%,8.11%,24.60%,Upgrade
19,FCF Yield,-2.69%,-3.13%,6.72%,0.82%,0.66%,3.06%,5.51%,1.33%,-5.35%,-29.37%,-20.88%,Upgrade
