,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Last Close Price,17200.00,17200.00,7142.86
1,Debt / Equity Ratio,1.83,1.83,1.75
2,Debt / EBITDA Ratio,7.91,7.17,-
3,Quick Ratio,0.86,0.86,0.66
4,Current Ratio,1.39,1.39,1.25
5,Return on Capital Employed (ROCE),18.62%,6.59%,2.21%
