,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2014,Q2 2013
,Period Ending,"Feb '25 Feb 26, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '14 Jun 30, 2014","Jun '13 Jun 30, 2013"
0,Last Close Price,8140.00,9010.00,6800.00,2911.56,1977.66
1,Debt / Equity Ratio,0.40,0.40,0.44,-,-
2,Debt / EBITDA Ratio,3.04,4.81,-,-,-
3,Quick Ratio,1.12,1.12,1.24,-,-
4,Current Ratio,3.66,3.66,3.75,-,-
5,Return on Capital Employed (ROCE),10.45%,4.22%,2.58%,-,-
