Stock Symbol,Date,Stock Price
0388,2024-09-30,321.633
0388,2024-06-30,242.155
0388,2024-03-31,220.475
0388,2023-12-31,255.323
0388,2023-09-30,278.759
0388,2023-06-30,276.978
0388,2023-03-31,326.706
0388,2022-12-31,312.925
0388,2022-09-30,250.191
0388,2022-06-30,354.364
0388,2022-03-31,340.961
0388,2021-12-31,412.943
0388,2021-09-30,435.068
0388,2021-06-30,415.631
0388,2021-03-31,410.781
0388,2020-12-31,382.392
0388,2020-09-30,321.743
0388,2020-06-30,290.68
0388,2020-03-31,205.943
0388,2019-12-31,220.196
