,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,399,214,286,468,434,392,357,425,413,363,345,Upgrade
1,Market Cap Growth,-59.67%,-54.37%,-34.11%,19.65%,21.42%,-7.86%,-13.43%,16.95%,19.64%,-10.61%,12.00%,Upgrade
2,Enterprise Value,690,580,2682,3004,2941,3011,3005,2927,2731,2776,634,Upgrade
3,Last Close Price,0.35,0.19,0.13,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
4,PE Ratio,196.89,9.02,-,131.99,-,-,-,-3.15,-,-,0.79,Upgrade
5,PS Ratio,0.53,0.62,-,1.27,-,0.29,0.26,0.34,0.37,0.43,0.56,Upgrade
6,PB Ratio,0.33,0.18,0.21,0.13,0.12,0.11,0.09,0.11,0.10,0.11,0.09,Upgrade
7,P/TBV Ratio,0.18,0.18,0.21,0.21,0.18,0.17,0.14,0.16,0.16,0.16,0.13,Upgrade
8,P/FCF Ratio,2.60,11.10,-,20.43,-,-,2.50,-,1.17,1.72,-8.77,Upgrade
9,P/OCF Ratio,1.35,6.38,-,6.95,-,1.97,2.11,-,1.00,1.59,-10.60,Upgrade
10,EV/Sales Ratio,0.90,1.67,-,8.16,-,2.24,2.16,2.33,2.46,3.27,1.02,Upgrade
11,EV/EBITDA Ratio,5.73,219.55,-,76.74,-,29.08,23.01,22.89,37.49,-84.09,-,Upgrade
12,EV/EBIT Ratio,85.94,-,-,147.48,-,66.16,43.19,44.96,197.47,-,-,Upgrade
13,EV/FCF Ratio,4.50,30.15,-,131.03,-,-,21.00,-,7.73,13.18,-16.11,Upgrade
14,Debt / Equity Ratio,0.33,0.33,0.40,0.47,0.48,0.53,0.46,0.49,0.45,0.58,0.49,Upgrade
15,Debt / FCF Ratio,2.61,20.81,-,71.42,-,-,12.61,-,5.01,9.18,-49.38,Upgrade
16,Return on Capital Employed (ROCE),0.44%,-,-,0.41%,-,0.85%,1.22%,1.15%,0.25%,-,-,Upgrade
17,Earnings Yield,1.20%,11.09%,-,0.76%,-,-45.06%,-30.49%,-31.76%,-91.13%,49.38%,127.17%,Upgrade
18,FCF Yield,38.40%,9.01%,-,4.89%,-,42.25%,40.06%,33.27%,85.57%,57.98%,-11.40%,Upgrade
19,Buyback Yield / Dilution,4.83%,5.46%,-,2.95%,-,0.31%,-,-,-,-,-0.02%,Upgrade
20,Total Shareholder Return,13.28%,5.46%,-,2.95%,-,0.31%,-,-,-,-,-0.02%,Upgrade
