,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.00,0.00,0.00,-,0.00
1,Debt / EBITDA Ratio,0.01,0.01,0.01,-,0.01
2,Debt / FCF Ratio,0.02,0.02,0.02,-,0.04
3,Asset Turnover,0.41,-,-,-,
4,Quick Ratio,4.88,4.88,4.88,-,-
5,Current Ratio,5.79,5.79,5.79,-,-
6,Return on Equity (ROE),11.04%,-,-,-,
7,Return on Assets (ROA),6.39%,-,-,-,
8,Return on Capital (ROIC),7.22%,-,-,-,
9,Return on Capital Employed (ROCE),10.80%,10.90%,8.00%,-,-
