,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,65.6,65.6,-,-
1,Short-Term Investments,151.26,151.26,-,-
2,Cash & Short-Term Investments,216.86,216.86,-,288.83
3,Receivables,30.47,30.47,-,-
4,Restricted Cash,28.14,28.14,-,-
5,Other Current Assets,17.5,17.5,-,-
6,Total Current Assets,292.97,292.97,-,-
7,"Property, Plant & Equipment",0.76,0.76,-,-
8,Long-Term Investments,134.33,134.33,-,-
9,Long-Term Deferred Tax Assets,0.02,0.02,-,-
10,Other Long-Term Assets,7.64,7.64,-,-
11,Total Assets,435.71,435.71,-,-
12,Accounts Payable,11.72,11.72,-,-
13,Accrued Expenses,29.51,29.51,-,-
14,Current Portion of Leases,0.52,0.52,-,-
15,Current Income Taxes Payable,2.63,2.63,-,-
16,Current Unearned Revenue,2.55,2.55,-,-
17,Other Current Liabilities,3.7,3.7,-,-
18,Total Current Liabilities,50.63,50.63,-,-
19,Total Liabilities,50.63,50.63,-,-
20,Common Stock,105.9,105.9,-,-
21,Retained Earnings,153.92,153.92,-,-
22,Comprehensive Income & Other,126.98,126.98,-,-
23,Total Common Equity,386.8,386.8,-,293.64
24,Minority Interest,-1.72,-1.72,-,-
25,Shareholders' Equity,385.08,385.08,-,293.03
26,Total Liabilities & Equity,435.71,435.71,-,-
27,Total Debt,0.52,0.52,-,0.25
28,Net Cash (Debt),216.34,216.34,-,288.58
29,Net Cash Per Share,2.04,2.04,-,2.79
30,Filing Date Shares Outstanding,141.2,141.2,103.62,103.62
31,Total Common Shares Outstanding,141.2,141.2,103.62,103.62
32,Working Capital,242.34,242.34,-,-
33,Book Value Per Share,2.74,2.74,-,3.54
34,Tangible Book Value,386.8,386.8,-,293.5
35,Tangible Book Value Per Share,2.74,2.74,-,3.54
36,Machinery,1.21,1.21,-,-
