,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,863,1518,1725,-,-,-
1,Enterprise Value,818,1400,1665,-,-,-
2,Last Close Price,4.45,7.83,8.90,-,-,-
3,PS Ratio,98.09,175.13,130.86,-,-,-
4,PB Ratio,16.19,28.49,12.27,-,-,-
5,P/TBV Ratio,28.49,28.49,12.27,-,-,-
6,EV/Sales Ratio,94.36,161.58,126.31,-,-,-
7,Debt / Equity Ratio,2.42,2.42,0.71,0.45,0.49,-
8,Earnings Yield,-22.86%,-12.99%,-12.24%,-,-,-
9,FCF Yield,-21.59%,-12.27%,-12.00%,-,-,-
10,Buyback Yield / Dilution,-6.70%,-6.51%,-6.89%,-8.33%,-,-
11,Total Shareholder Return,-6.70%,-6.51%,-6.89%,-8.33%,-,-
