,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,133,169,66,88,149,259,399,203,112,119,359,Upgrade
1,Market Cap Growth,92.15%,92.15%,-55.37%,-66.13%,-62.75%,27.59%,256.25%,70.59%,-68.78%,-64.38%,111.97%,Upgrade
2,Enterprise Value,99,121,19,-4,6,119,186,43,-33,36,315,Upgrade
3,Last Close Price,0.35,0.47,0.18,0.24,0.41,0.74,1.14,0.58,0.32,0.34,1.20,Upgrade
4,PE Ratio,0.56,0.74,4.68,-4.19,-,7.29,10.66,5.03,4.86,-1.94,-,Upgrade
5,PS Ratio,0.14,0.18,0.08,0.11,0.19,0.33,0.51,0.25,0.15,0.16,0.49,Upgrade
6,PB Ratio,0.04,0.05,0.02,0.03,0.05,0.09,0.13,0.07,0.04,0.04,0.12,Upgrade
7,P/TBV Ratio,0.05,0.05,0.02,0.03,0.05,0.09,0.13,0.07,0.04,0.04,0.13,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-17.74,-,-39.83,-,0.71,-13.29,Upgrade
9,P/OCF Ratio,-,-,-1.42,-,-,-64.65,-,6.00,-,0.51,9.76,Upgrade
10,EV/Sales Ratio,0.10,0.13,0.02,-,0.01,0.15,0.24,0.05,-,0.05,0.43,Upgrade
11,EV/EBITDA Ratio,2.92,3.92,0.88,-,-,1.72,2.66,0.80,-,-1.81,-,Upgrade
12,EV/EBIT Ratio,58.22,71.40,-,-,-,2.89,4.26,1.41,-,-0.87,-,Upgrade
13,EV/FCF Ratio,-4.59,-,-,-,-,-8.12,-,-8.52,-,0.21,-11.65,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-0.26,-,-1.11,-,0.04,-0.32,Upgrade
16,Return on Capital Employed (ROCE),0.05%,0.05%,-,-0.90%,-,1.35%,1.44%,1.03%,-,-1.43%,-,Upgrade
17,Earnings Yield,171.60%,135.28%,21.35%,-23.86%,3.00%,13.72%,9.38%,19.87%,20.57%,-51.66%,-20.25%,Upgrade
18,FCF Yield,-16.17%,-12.75%,-93.13%,-134.80%,-6.64%,-5.64%,-4.51%,-2.51%,41.11%,141.76%,-7.52%,Upgrade
19,Buyback Yield / Dilution,-1.10%,-,-2.23%,-3.57%,-1.33%,0.00%,-17.16%,-2.05%,-8.10%,-29.22%,-,Upgrade
20,Total Shareholder Return,-1.10%,-,-2.23%,-3.57%,-1.33%,0.00%,-17.16%,-2.05%,-8.10%,-29.22%,-,Upgrade
