,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,42668,63976,37962,-,-,-
1,Enterprise Value,43660,65207,38528,-,-,-
2,Last Close Price,98.95,153.00,90.85,-,-,-
3,PS Ratio,29.63,46.45,32.64,-,-,-
4,PB Ratio,23.42,33.92,16.50,-,-,-
5,P/TBV Ratio,51.33,51.33,23.46,-,-,-
6,EV/Sales Ratio,31.70,47.34,33.13,-,-,-
7,Debt / Equity Ratio,0.98,0.98,0.73,0.62,0.65,-
8,Earnings Yield,-3.07%,-2.05%,-3.58%,-,-,-
9,FCF Yield,-3.40%,-2.27%,-4.46%,-,-,-
10,Buyback Yield / Dilution,-3.38%,-3.60%,-3.15%,-5.08%,-,-
11,Total Shareholder Return,-3.38%,-3.60%,-3.15%,-5.08%,-,-
