,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,580,936,858,1761,2062,2185,2229,2363,2263,2218,2976,Upgrade
1,Market Cap Growth,-46.84%,-46.84%,-58.38%,-19.39%,-7.50%,-7.55%,-1.48%,6.53%,-23.97%,-34.75%,-12.75%,Upgrade
2,Enterprise Value,23247,23590,23237,23984,24204,24685,25110,25485,26231,25193,25532,Upgrade
3,Last Close Price,0.52,0.84,0.77,1.58,1.85,1.96,2.00,2.12,2.03,1.99,2.63,Upgrade
4,PE Ratio,-,-,-,-,-,-19.99,-,-,-,-,14.57,Upgrade
5,PS Ratio,0.22,0.36,0.31,0.66,0.52,0.38,0.56,1.37,1.57,0.95,1.03,Upgrade
6,PB Ratio,0.06,0.06,0.05,0.10,0.11,0.11,0.12,0.12,0.11,0.10,0.14,Upgrade
7,P/TBV Ratio,0.09,0.09,0.08,0.14,0.16,0.16,0.17,0.17,0.16,0.15,0.20,Upgrade
8,P/FCF Ratio,3.03,-,1.52,2.70,3.23,4.83,13.63,1.96,1.63,81.85,-,Upgrade
9,P/OCF Ratio,3.38,3.38,1.38,2.46,2.92,2.70,3.11,1.36,0.99,1.69,4.08,Upgrade
10,EV/Sales Ratio,8.95,9.09,8.28,8.92,6.05,4.24,6.25,14.78,18.18,10.77,8.81,Upgrade
11,EV/EBITDA Ratio,50.55,207.12,85.90,220.85,-,18.00,44.60,-232.74,-,-,45.15,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,24.56,117.45,-,-,-,110.29,Upgrade
13,EV/FCF Ratio,121.46,-,41.20,36.76,37.86,54.58,153.48,21.15,18.93,929.64,-,Upgrade
14,Debt / Equity Ratio,1.33,1.33,1.25,1.13,1.07,1.01,1.04,1.06,0.98,0.93,0.96,Upgrade
15,Debt / FCF Ratio,104.09,-,35.71,30.43,30.82,42.51,123.03,17.85,14.69,754.05,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,2.73%,0.56%,-,-,-,0.56%,Upgrade
17,Earnings Yield,-244.05%,-142.61%,-121.41%,-47.23%,-10.56%,-1.38%,-17.83%,-19.12%,-38.64%,-17.24%,9.50%,Upgrade
18,FCF Yield,33.02%,20.44%,65.72%,37.05%,31.00%,20.70%,7.34%,50.98%,61.25%,1.22%,-18.58%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,2.09%,Upgrade
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,2.09%,Upgrade,
