,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2750,3536,2750,3104,3261,4086,3772,3065,2318,1964,3772,Upgrade
1,Market Cap Growth,1.43%,13.92%,-15.66%,-24.04%,-13.54%,33.33%,62.71%,56.00%,-38.54%,-59.68%,-22.58%,Upgrade
2,Enterprise Value,2861,3963,3032,3638,4158,5866,6170,5678,6000,5514,7345,Upgrade
3,Last Close Price,0.35,0.45,0.33,0.37,0.34,0.43,0.37,0.30,0.23,0.19,0.37,Upgrade
4,PE Ratio,4.80,6.78,4.98,3.76,2.44,2.60,3.42,6.20,-6.37,-,6.28,Upgrade
5,PS Ratio,0.29,0.62,0.72,0.66,0.56,0.70,0.87,0.92,0.81,0.69,1.10,Upgrade
6,PB Ratio,0.34,0.45,0.35,0.41,0.42,0.56,0.54,0.49,0.40,0.36,0.61,Upgrade
7,P/TBV Ratio,0.36,0.47,0.37,0.42,0.43,0.58,0.56,0.51,0.42,0.38,0.63,Upgrade
8,P/FCF Ratio,-,5.36,3.67,2.91,1.99,2.89,5.64,39.45,-,-,9.02,Upgrade
9,P/OCF Ratio,-,3.32,2.38,2.02,1.51,2.14,3.41,6.18,20.18,-,5.76,Upgrade
10,EV/Sales Ratio,0.30,0.69,0.79,0.78,0.71,1.00,1.42,1.71,2.11,1.95,2.14,Upgrade
11,EV/EBITDA Ratio,2.96,3.52,2.71,2.74,2.17,3.00,4.95,9.44,41.14,-,24.23,Upgrade
12,EV/EBIT Ratio,4.61,5.19,3.92,4.31,2.85,3.91,7.63,24.17,-30.95,-,-,Upgrade
13,EV/FCF Ratio,-,6.01,4.05,3.41,2.53,4.15,9.22,73.09,-,-,17.57,Upgrade
14,Debt / Equity Ratio,0.24,0.18,0.23,0.25,0.34,0.46,0.54,0.61,0.86,0.90,0.84,Upgrade
15,Debt / FCF Ratio,-,2.15,2.44,1.76,1.61,2.39,5.57,48.93,-,-,12.45,Upgrade
16,Return on Capital Employed (ROCE),3.75%,7.51%,7.53%,8.15%,12.98%,13.15%,7.17%,2.25%,-1.75%,-,-,Upgrade
17,Earnings Yield,20.82%,14.75%,20.06%,26.59%,40.96%,38.41%,29.25%,16.13%,-15.70%,-9.80%,15.92%,Upgrade
18,FCF Yield,18.66%,27.26%,34.39%,50.34%,34.57%,17.74%,2.53%,-11.38%,0.46%,11.09%,Upgrade,
19,Buyback Yield / Dilution,0.04%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,7.19%,-,-,-,-,-,-,-,-,-,-,Upgrade
