,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,110,140,294,298,493,123,419,327,51,41,115,Upgrade
1,Market Cap Growth,-53.09%,-53.09%,-40.30%,141.94%,17.72%,-62.26%,723.78%,688.25%,-55.67%,-70.45%,-5.26%,Upgrade
2,Enterprise Value,55,38,225,208,456,48,347,272,10,-16,32,Upgrade
3,Last Close Price,0.15,0.19,0.40,0.41,0.67,0.20,0.68,0.53,0.13,0.13,0.36,Upgrade
4,Forward PE,-,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,9.46,Upgrade
5,PS Ratio,3.46,4.39,7.67,4.73,6.74,1.93,6.13,4.12,0.63,0.47,1.32,Upgrade
6,PB Ratio,0.66,0.99,1.62,1.53,2.40,0.53,1.63,1.15,0.19,0.11,0.28,Upgrade
7,P/TBV Ratio,0.84,0.84,1.42,1.42,2.27,0.53,1.60,1.14,0.19,0.13,0.32,Upgrade
8,P/FCF Ratio,-,-12.23,-,-,-63.01,-,-,10.52,-2.10,-,-,Upgrade
9,P/OCF Ratio,-,-12.23,-,-,-63.12,-,-,9.48,-2.29,-,-,Upgrade
10,EV/Sales Ratio,1.73,1.19,5.87,3.30,6.23,0.74,5.08,3.43,0.12,-,0.37,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,27.57,2.10,25.55,-,0.59,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,28.32,2.20,27.29,-,1.76,-,-,Upgrade
13,EV/FCF Ratio,-,-3.31,-,-,-58.25,-,-,8.75,-0.40,-,-,Upgrade
14,Debt / Equity Ratio,0.22,0.22,0.19,0.18,0.20,0.14,0.05,0.13,0.14,0.07,0.07,Upgrade
15,Debt / FCF Ratio,-,-2.75,-,-,-5.14,-,-,1.20,-1.63,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,7.05%,8.46%,4.83%,-,1.92%,-,-,Upgrade
17,Earnings Yield,-39.53%,-31.21%,-7.91%,-18.45%,-16.72%,-41.60%,-9.58%,-38.03%,-271.00%,-190.92%,-83.06%,Upgrade
18,FCF Yield,-8.17%,-8.17%,-11.28%,-2.87%,-1.59%,-51.49%,-5.45%,9.51%,-47.60%,-123.25%,3.34%,Upgrade
19,Buyback Yield / Dilution,-2.82%,-,-5.81%,-19.48%,-12.60%,-52.15%,-63.44%,-27.07%,-18.63%,-,-0.00%,Upgrade
20,Total Shareholder Return,-2.82%,-,-5.81%,-19.48%,-12.60%,-52.15%,-63.44%,-27.07%,-18.63%,-,-0.00%,Upgrade
