,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Last Close Price,6800.00,7000.00,6100.00
1,Debt / Equity Ratio,0.36,0.36,0.15
2,Debt / EBITDA Ratio,13.32,5.76,-
3,Quick Ratio,0.67,0.67,0.59
4,Current Ratio,1.21,1.21,0.76
5,Return on Capital Employed (ROCE),2.32%,1.44%,0.10%
